intent_pattern,capability_family,confidence,example_phrase,feature_signal,semantic_description
\b(regelmäßig|regularly)\b,cron,0.84,Prüfe regelmäßig die Logs,temporal,General recurring timing request.
\bautomatisch jeden\b,cron,0.93,Automatisch jeden Morgen die API prüfen,temporal,Automatic repeated schedule.
\b(nightly|nachts)\b,cron,0.90,Run the nightly cleanup job,temporal,Nightly scheduled execution.
\b(remind me every|erinnere mich jeden)\b,cron,0.86,Erinnere mich jeden Freitag an das Review,temporal,Recurring reminder-style schedule.
\b(periodisch|periodic)\b,cron,0.85,Create a periodic check for stale files,temporal,Periodic execution request.
\b(recurring task|wiederkehrende aufgabe)\b,cron,0.92,Lege eine wiederkehrende Aufgabe an,temporal,Explicit recurring task phrasing.
\b(monitor\b.*\bcontinuous|kontinuierlich überwachen)\b,cron,0.81,Kontinuierlich überwache den Service,system,Continuous monitoring can imply scheduled repetition.
\b(heartbeat|health check)\b,cron,0.82,Set up a heartbeat check every 5 minutes,integration,Scheduled integration health checks.
\bpoll\b.*\bapi\b,cron,0.80,Poll the API every 10 minutes,integration,Periodic external polling pattern.
\bmcp\b,mcp,0.98,Nutze das MCP-Tool zum Speichern,integration,Explicit MCP mention.
\b(mcp tool|mcp-tool)\b,mcp,0.97,Call the MCP tool for memory search,integration,Explicit MCP tool invocation.
\b(server\b.*\bmcp|mcp\b.*\bserver)\b,mcp,0.94,Verbinde den MCP Server mit dem Agenten,integration,MCP server connection/setup.
\b(tool registry|tool-registry)\b,mcp,0.83,Query the tool registry through MCP,integration,Registry-style external tool access.
\b(external tool|externes tool)\b,mcp,0.81,Use an external tool over MCP,integration,Externalized capability via MCP.
\bwebhook\b.*\bmcp\b,mcp,0.84,Bridge the webhook through an MCP server,integration,Webhook integration over MCP.
\bremote\b.*\btool\b,mcp,0.79,Invoke a remote tool instead of a local skill,integration,Remote tool access pattern.
\b(api bridge|bridge\b.*\btool)\b,mcp,0.80,Use an API bridge tool via MCP,integration,Bridge external APIs into the agent.
\bconnect\b.*\bserver\b,mcp,0.76,Connect to the document server through MCP,integration,Connect to external server resource.
\bmemory\b.*\bmcp\b,mcp,0.88,Nutze MCP für die Memory-Suche,integration,MCP-backed memory access.
\bvector\b.*\bsearch\b,mcp,0.74,Run vector search via the MCP endpoint,integration,External semantic retrieval endpoint.
\b(tool endpoint|endpoint\b.*\btool)\b,mcp,0.78,Call the tool endpoint on the MCP server,integration,Endpoint-oriented tool routing.
\b(remote procedure|rpc)\b,mcp,0.73,Use an RPC-style MCP call,integration,Protocol-like remote invocation.
\b(shared server|zentraler server)\b,mcp,0.75,Greife auf den zentralen MCP-Server zu,integration,Shared external service access.
\b(integration point|integrationspunkt)\b,mcp,0.72,This should go through an integration point,integration,Generic external integration phrase.
\b(tool host|tool-host)\b,mcp,0.77,Route this to the remote tool host,integration,Hosted remote tool execution.
\b(erklär(e|en)?|explain)\b,direct,0.95,Erklär mir kurz den Unterschied,simplicity,Simple explanatory answer requested.
\b(answer directly|direkt antworten)\b,direct,0.97,Just answer directly without tools,simplicity,Explicit direct-answer request.
\b(kurz|briefly)\b,direct,0.86,Antwort kurz und ohne Ausführung,simplicity,Concise chat answer signal.
\b(what is|was ist)\b,direct,0.88,Was ist ein MCP-Server?,simplicity,Definition-style request.
\b(how does|wie funktioniert)\b,direct,0.87,Wie funktioniert ein Cronjob?,simplicity,General explanation request.
\b(meinung|opinion)\b,direct,0.74,Was ist deine Meinung zu der Struktur?,simplicity,Conversational opinion request.
\b(compare|vergleiche)\b,direct,0.79,Vergleiche Cron und one-shot kurz,simplicity,Comparison that can be answered directly.
\b(summarize|zusammenfassen)\b,direct,0.82,Summarize this architecture in 3 sentences,simplicity,Plain summarization request.
\b(chat\b.*\bantwort|just chat)\b,direct,0.83,Ich will nur eine normale Chat-Antwort,simplicity,Explicit normal chat mode.
\b(ohne tools|without tools)\b,direct,0.92,Beantworte das ohne Tools,simplicity,No-tool direct response.
\bpdf\b.*\b(erklären|explain)\b,direct,0.70,"Erklär mir kurz, was in diesem PDF wichtig ist",document,Document discussion without workflow creation.
\bdocx\b.*\b(summary|zusammenfassung)\b,direct,0.69,Give me a quick summary of this DOCX,document,Simple document summary request.
\b(spreadsheet\b.*\bexplain|excel\b.*\berklären)\b,direct,0.68,Explain this spreadsheet briefly,document,Direct explanation of a document.
\bapi\b.*\b(erklären|explain)\b,direct,0.66,Explain this API response in simple terms,integration,Explain integration result directly.
\b(plain answer|einfache antwort)\b,direct,0.90,Gib mir einfach eine einfache Antwort,simplicity,Preference for plain direct response.
\b(no workflow|kein workflow)\b,direct,0.89,"Kein Workflow, nur die Antwort",simplicity,Avoid structured execution path.
